id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
SEC23IP	4513.31783775995	3584.71976885279	4607.93603594436	1.28543828613388	0.362260348074451	0.14774333930859	0.42206759300371
GAPT	255.759920887737	132.147860128384	268.355198494416	2.03071921280983	1.02199077223309	0.147763644440733	0.42206759300371
CAPS2	262.150111774017	397.851508996871	248.323008179623	0.624160025949723	-0.680012131431577	0.147764800180891	0.42206759300371
HDGFL3	3788.08291104766	2947.72850408681	3873.70964503015	1.31413379477097	0.394112167004301	0.147786490292353	0.42208970892011
SF3A2	3760.11690251803	2886.07288224383	3849.17639241071	1.33370727263759	0.415442052836946	0.147859351124335	0.422237211409065
HINT1	9586.50023400353	7952.22690043973	9753.0222238076	1.22645170288945	0.294490422339212	0.14786603993369	0.422237211409065
RICTOR	2648.584246872	3296.53784111967	2582.56192392341	0.783416435179232	-0.352148700192195	0.147897504745775	0.422287214465646
C6orf89	7935.50093320541	9633.06761243197	7762.5297566927	0.805821164036548	-0.311468398051127	0.147937181903786	0.422328544144599
AC009237.14	388.736607330731	226.324443418528	405.285367044058	1.79072733339098	0.840545680868319	0.147939890178663	0.422328544144599
AC133963.1	2.94708234301416	0.519140200060503	3.19447410329708	6.15339382872832	2.62138233067817	0.147959268258204	0.422336695316317
FBXO33	874.967625936033	1203.19188324769	841.523675461537	0.699409368678648	-0.515790973636264	0.147970656591842	0.422336695316317
FO681492.1	36.5768231552183	63.1278974476595	33.8714386691535	0.536552618392477	-0.898208435421877	0.148013791109705	0.422419969855998
AC008268.1	623.715818847833	386.984472247062	647.83722747352	1.67406517298173	0.743355694499532	0.148040013665944	0.422427501674541
EIF1AD	1952.4825255609	1445.0714414117	2004.18446650667	1.38691030012244	0.471874482864628	0.148044347313887	0.422427501674541
HSD17B14	506.42216530206	309.250502594153	526.512695406653	1.70254434831954	0.767692378423758	0.148087558474165	0.422510962770213
