id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ELAVL2	196.66082240633	34.5554088345302	213.178326223835	6.16917389820641	2.62507731388783	0.000971769532657056	0.00919307951447343
RIIAD1	54.1898111081993	5.76451862613228	59.1240383854523	10.2565439059257	3.35847277030057	0.000975568725954283	0.00922037362696891
IL17D	105.306013941246	335.465333315694	81.8542528147244	0.244002120891861	-2.03503440698907	0.000975913549734712	0.0092207529677245
AC093278.2	257.472620243335	667.504729358761	215.692973417327	0.323133251242329	-1.62979887961638	0.000977382857262864	0.00923175324885957
PECR	683.667908330002	1541.03934476065	596.30724799036	0.38695134554334	-1.36977591858525	0.000979307793477455	0.00924416461447543
LIG1	2592.31090014104	1295.51766343612	2724.44582867815	2.10297852786667	1.07243411973283	0.000981512871820042	0.00926209043962892
IGFL2	102.175297377462	11.8640741079006	111.377432841358	9.38778971105627	3.23078552547696	0.000983395059169802	0.00927406814448604
H1-12P	63.1809075705944	6.99493267963184	68.9058987001515	9.85083085942983	3.30024541251084	0.000989908090835639	0.00932967566270911
PGP	1253.31273565218	540.712011258093	1325.92218728116	2.4521781644837	1.29406380271519	0.000996923247932693	0.0093928668282027
MFSD12	3020.00772017528	1570.45012986079	3167.70835832274	2.01707032785787	1.0122613863222	0.000998363486904663	0.00940336053676207
VLDLR-AS1	56.1298151555649	173.635494998649	44.156738670201	0.254307097005394	-1.97535637068232	0.00100033737062495	0.00941623945481275
DNAJC22	1043.3664059521	391.425693871385	1109.7949906817	2.83526352014683	1.5034828309491	0.00100132744186174	0.00942262822545457
COX6CP1	188.884688860002	32.6396641353297	204.805056573157	6.27472929022798	2.64955321841476	0.00100293240549392	0.00943186556478014
GFOD1	1069.90813806252	2076.31335360959	967.361889769625	0.465903611363817	-1.10189658161962	0.00100818958253239	0.00947836015414034
CDC42EP2	847.459011144733	1716.42461387887	758.916979486521	0.442149904720533	-1.17739251682798	0.00100864252225718	0.00947967349412081
ZDHHC2	1127.97080749955	2155.4867037393	1023.27351599812	0.474729681339701	-1.07482184123773	0.00100991372192114	0.00948867400388058
